game_id,date,season,team1,team2,team1_pts,team1_fg_pct,team1_3p_pct,team1_ft_pct,team1_reb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_plus_minus,team2_pts,team2_fg_pct,team2_3p_pct,team2_ft_pct,team2_reb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_plus_minus,pts_diff,fg_pct_diff,reb_diff,ast_diff,stl_diff,blk_diff,tov_diff,plus_minus_diff,team1_wins,team1_fgm,team1_fga,team1_fg3m,team1_fg3a,team1_ftm,team1_fta,team1_oreb,team1_dreb,team2_fgm,team2_fga,team2_fg3m,team2_fg3a,team2_ftm,team2_fta,team2_oreb,team2_dreb,team1_efficiency,team2_efficiency,efficiency_diff,team1_recent_win_rate,team2_recent_win_rate,recent_win_rate_diff
0022500236,2025-11-16,22025,ORL,HOU,113,0.418,0.324,0.735,38,21,11,9,8,22,-4.0,117,0.42,0.4,0.862,60,19,4,4,14,23,4.0,-4,-0.0020000000000000018,-22,2,7,5,-6,-8.0,0,38,91,12,37,25,34,9,29,42,100,8,20,25,29,19,41,0.9915759915759915,0.9157795867251095,0.07579640485088202,0.8,0.8,0.0
0022500234,2025-11-16,22025,SAS,SAC,123,0.54,0.368,0.833,46,38,7,4,14,17,13.0,110,0.471,0.364,0.727,37,25,10,3,12,17,-13.0,13,0.06900000000000006,9,13,-3,1,2,26.0,1,47,87,14,38,15,18,9,37,41,87,12,33,16,22,5,32,1.1189956331877728,1.0121457489878543,0.10684988419991859,0.6,0.0,0.6
0022500238,2025-11-16,22025,POR,DAL,133,0.407,0.298,0.844,53,26,8,5,11,32,-5.0,138,0.505,0.441,0.675,47,33,7,9,14,22,5.0,-5,-0.09800000000000003,6,-7,1,-4,-3,-10.0,0,46,113,14,47,27,32,22,31,48,95,15,34,27,40,13,34,0.9562841530054645,1.0815047021943573,-0.1252205491888928,0.4,0.2,0.2
0022500248,2025-11-17,22025,CHI,DEN,130,0.471,0.358,0.789,53,31,5,4,9,18,3.0,127,0.474,0.389,0.84,53,21,6,5,8,14,-3.0,3,-0.0030000000000000027,0,10,-1,-1,1,6.0,1,48,102,19,53,15,19,13,40,46,97,14,36,21,25,13,40,1.0891420911528151,1.0948275862068966,-0.005685495054081446,0.0,1.0,-1.0
0022500246,2025-11-17,22025,MIN,DAL,120,0.454,0.318,0.72,59,27,16,5,16,24,24.0,96,0.4,0.3,0.613,43,13,7,4,20,22,-24.0,24,0.05399999999999999,16,14,9,1,-4,48.0,1,44,97,14,44,18,25,14,45,34,85,9,30,19,31,10,33,0.96,0.8091706001348618,0.15082939986513821,0.8,0.4,0.4
0022500244,2025-11-17,22025,NYK,MIA,113,0.457,0.25,0.75,48,23,7,7,15,18,-2.0,115,0.446,0.4,0.846,40,29,5,5,12,21,2.0,-2,0.01100000000000001,8,-6,2,2,3,-4.0,0,43,94,9,36,18,24,11,37,45,101,14,35,11,13,7,33,0.9295820993747943,0.9526176275679258,-0.023035528193131483,0.8,0.6,0.20000000000000007
0022500247,2025-11-17,22025,OKC,NOP,126,0.494,0.405,0.821,38,30,12,6,16,20,17.0,109,0.488,0.429,0.867,35,21,9,4,20,26,-17.0,17,0.006000000000000005,3,9,3,2,-4,34.0,1,43,87,17,42,23,28,13,25,42,86,12,28,13,15,12,23,1.0739856801909309,0.9511343804537522,0.12285129973717868,1.0,0.0,1.0
0022500242,2025-11-17,22025,DET,IND,127,0.545,0.257,0.733,43,29,9,8,16,28,15.0,112,0.417,0.29,0.733,43,19,8,5,21,26,-15.0,15,0.12800000000000006,0,10,1,3,-5,30.0,1,48,88,9,35,22,30,14,29,35,84,9,31,33,45,20,23,1.0744500846023688,0.8974358974358975,0.17701418716647133,1.0,0.0,1.0
0022500241,2025-11-17,22025,MIL,CLE,106,0.419,0.472,0.733,34,26,9,1,14,17,-12.0,118,0.557,0.429,0.714,45,25,7,5,16,17,12.0,-12,-0.13800000000000007,-11,1,2,-4,-2,-24.0,0,39,93,17,36,11,15,7,27,44,79,15,35,15,21,4,41,0.924956369982548,1.1106927710843375,-0.18573640110178946,0.4,0.6,-0.19999999999999996
0022500245,2025-11-17,22025,TOR,CHA,110,0.5,0.4,0.75,43,25,8,7,17,21,2.0,108,0.425,0.25,0.8,48,19,11,9,16,14,-2.0,2,0.07500000000000001,-5,6,-3,-2,1,4.0,1,44,88,10,25,12,16,8,35,37,87,10,40,24,30,14,34,0.9817922170653337,0.9294320137693631,0.052360203295970575,0.8,0.2,0.6000000000000001
